number,date,classification
2016-18,2016-12,beliefs
2016-18,2016-12,polarization
2016-18,2016-12,learning
2016-18,2016-12,bayesian updating
2016-17,2016-12,industrial location
2016-17,2016-12,china
2016-17,2016-12,location quotient
2016-16,2016-11,
2016-14,2015-10,
2016-13,2016-09,
2016-12,2016-08,
2016-11,2016-05,anchoring bias
2016-11,2016-05,recall data
2016-11,2016-05,self-reporting
2016-11,2016-05,smallholder farmers
2016-11,2016-05,central america
2016-10,2014-03,employment risk
2016-10,2014-03,performance
2016-10,2014-03,recruitment
2016-10,2014-03,randomized controlled trial
2016-10,2014-03,stress
2016-09,2016-01,
2016-08,2016-10,
2016-07,2016-10,labor coercion
2016-07,2016-10,serfdom
2016-07,2016-10,development
2016-07,2016-10,russia
2016-07,2016-10,persistence
2016-06,2016-03,leverage
2016-06,2016-03,asset prices
2016-06,2016-03,securitized markets
2016-06,2016-03,cash-synthetic basis
2016-05,2016-08,non-cognitive characteristics
2016-05,2016-08,parental investment
2016-05,2016-08,intrahousehold allocation
2016-04,2016-07,
2016-03,2016-10,
2016-02,2016-03,comparative development
2016-02,2016-03,natural selection
2016-02,2016-03,human evolution
2016-02,2016-03,malthusian era
2016-02,2016-03,neolithic revolution
2016-02,2016-03,genes
2016-02,2016-03,race
2016-01,2016-02,human capital
2016-01,2016-02,air pollution
2016-01,2016-02,avoidance behavior
2016-01,2016-02,carbon monoxide
2015-17,2015-08,
2015-16,2015-05,road pricing
2015-16,2015-05,traffic policy
2015-16,2015-05,air pollution
2015-15,2015-07,punishment
2015-15,2015-07,cooperation
2015-15,2015-07,gift exchange
2015-15,2015-07,reciprocity
2015-14,2015-07,asset-backed securities
2015-14,2015-07,current account deficit
2015-14,2015-07,global imbalances
2015-14,2015-07,gross international asset positions
2015-14,2015-07,idiosyncratic risk
2015-13,2015-07,leverage
2015-13,2015-07,margins
2015-13,2015-07,asset prices
2015-13,2015-07,default
2015-13,2015-07,securitized markets
2015-13,2015-07,asset-backed securities
2015-13,2015-07,collateralized debt obligations
2015-12,2015-07,
2015-11,2015-07,hyperbolic discounting
2015-11,2015-07,epstein-zin
2015-11,2015-07,portfolio choice
2015-11,2015-07,financial literacy
2015-10,2015-07,asset pricing puzzles
2015-10,2015-07,heterogeneous-agent model
2015-10,2015-07,model misspecification
2015-10,2015-07,recursive preferences
2015-09,2015-06,classroom game
2015-09,2015-06,spatial agglomeration
2015-09,2015-06,conservation
2015-09,2015-06,land use
2015-09,2015-06,economic education
2015-08,2015-04,civil conflict
2015-08,2015-04,genetic diversity
2015-08,2015-04,fractionalization
2015-08,2015-04,polarization
2015-08,2015-04,interpersonal trust
2015-08,2015-04,preferences for public goods
2015-08,2015-04,economic inequality
2015-07,2014-04,hunting and gathering
2015-07,2014-04,agriculture
2015-07,2014-04,neolithic revolution
2015-07,2014-04,climatic volatility
2015-07,2014-04,broad spectrum revolution
2015-07,2014-04,technological progress
2015-06,2013-01,
2015-05,2015-04,english language
2015-05,2015-04,research output
2015-05,2015-04,economist rankings
2015-04,2015-04,
2015-03,2015-04,leverage
2015-03,2015-04,risk
2015-03,2015-04,collateral constraints
2015-03,2015-04,asset prices
2015-02,2015-04,leverage
2015-02,2015-04,macroeconomic instability
2015-02,2015-04,borrowing constraints
2015-02,2015-04,banks
2015-02,2015-04,macroprudential regulation
2015-02,2015-04,financial crises
2015-01,2015-04,financial intermediation
2015-01,2015-04,systemic risk
2015-01,2015-04,default
2014-06,2014-11,value added tax
2014-06,2014-11,exports
2014-06,2014-11,evasion
2014-05,2014-11,health
2014-05,2014-11,agglomeration
2014-05,2014-11,nonprofits
2014-04,2014-01,
2014-03,2012-01,reciprocity
2014-03,2012-01,public bad
2014-03,2012-01,logrolling
2014-03,2012-01,social preferences
2014-03,2012-01,externalities
2014-03,2012-01,public good
2014-02,2014-03,discovered preferences
2014-02,2014-03,preference stability
2014-02,2014-03,learning
2014-02,2014-03,risk preferences
2014-01,2010-04,temporal spillovers
2014-01,2010-04,slippage
2014-01,2010-04,land use
2014-01,2010-04,payments for environmental services
2014-01,2010-04,conservation reserve program
2013-18,2013-11,exports
2013-18,2013-11,education
2013-18,2013-11,human capital
2013-18,2013-11,structural change
2013-17,2010-04,conservation reserve program
2013-17,2010-04,land use
2013-17,2010-04,environmental policy
2013-17,2010-04,farm policy
2013-16,2013-06,medicaid
2013-16,2013-06,wage pass-through
2013-16,2013-06,nursing home
2013-16,2013-06,direct care staff
2013-16,2013-06,quality of care
2013-16,2013-06,fgls
2013-15,2013-01,russia
2013-15,2013-01,agronomy
2013-15,2013-01,political economy
2013-15,2013-01,agriculture
2013-14,2013-05,russia
2013-14,2013-05,economic history
2013-14,2013-05,serfdom
2013-14,2013-05,inequality
2013-14,2013-05,land reform
2013-14,2013-05,institutions
2013-13,2011-03,russia
2013-13,2011-03,inequality
2013-13,2011-03,economic history
2013-12,2011-08,agent-based computational model
2013-12,2011-08,trend inflation
2013-12,2011-08,price dispersion
2013-12,2011-08,firm turnover
2013-11,2011-08,fertility
2013-11,2011-08,population size
2013-11,2011-08,age structure
2013-11,2011-08,child quality
2013-11,2011-08,worker experience
2013-11,2011-08,labor force participation
2013-11,2011-08,capital accumulation
2013-11,2011-08,natural resources
2013-11,2011-08,income per capita
2013-10,2010-08,
2013-09,2013-09,public bad
2013-09,2013-09,public good
2013-09,2013-09,social preferences
2013-09,2013-09,reciprocity
2013-09,2013-09,externalities
2013-09,2013-09,in-group-out-group
2013-09,2013-09,parochial altruism
2013-06,2013-07,
2013-05,2013-03,
2013-04,2013-07,corruption
2013-04,2013-07,exports
2013-04,2013-07,intermediaries
2013-03,2013-09,public goods
2013-03,2013-09,direct and indirect reciprocity
2013-03,2013-09,experiment
2013-03,2013-09,peer-to-peer fundraising
2013-02,2013-08,common pool resource
2013-02,2013-08,communication
2013-02,2013-08,information
2013-02,2013-08,pigouvian subsidy
2013-02,2013-08,social norms
2013-02,2013-08,voluntary cooperation
2013-02,2013-08,laboratory experiment
2013-01,2013-06,charitable donations
2013-01,2013-06,incentive effects of taxation
2012-07,2013-02,immigrants
2012-07,2013-02,social security
2012-07,2013-02,retirement
2012-07,2013-02,wealth
2012-06,2012-11,intergenerational mobility
